,Text,,
426,"The coronavirus can survive for several hours in air particles and last days on surfaces, according to a new federally funded study, so, no matter how far away from your co-workers you stay, if you touch a door knob or copy machine that someone infected last touched... that's it!",,
427,75% of the restaurants we know and love could shut down as a result of the coronavirus crisis. They closed to keep us safe -- now they need our help. GET INVOLVED! Help #SaveRestaurants by joining our movement at http://saverestaurants.co. ?íõ,,
428,Dr. Aaron Carroll details how the Coronavirus Highlights the Pitfalls of Health Deductibles -,,
429,"Boy, you guys are slow on the uptake. I cancelled my membership a week ago, when the club was still open and the governor hadn't issued the stay at home order. There's no telling when the coronavirus pandemic will let up and have me using the club's services on a regular basis.",,
430,Our hearts are heavy upon learning of the passing of Tony Award-winning playwright + librettist Terrence McNally today at 81 from complications due to coronavirus. Our thoughts go out to his loved ones and to everyone being impacted by the epidemic.?§Ô∏è ,,
431,The Kern County Sheriff's Office announced on Tuesday that they were upgrading their app to help the community stay informed during the coronavirus pandemic. ,,
432,This is really turning into some real life #JimJones cult type ?í©! #coronavirus,,
433,#RT @CAL_FIRE: CAL FIRE takes serious precautions to ensure that our personnel are as safe as possible when faced with potential exposure to the #coronavirus. You should also exercise the same serious precautions in your daily life because it is all our ??,,
434,So he'll be dead from the coronavirus within the week. ,,
435,#Coronavirus #Trump Press Conference Today &gt;&gt;,,
436,Trump says governors 'have to treat us well' if they want assistance during coronavirus pandemic https://news.yahoo.com/trump-says-governors-treat-us-194500496.html?soc_src=hl-viewer&amp;soc_trk=tw via @Yahoo,,
437,"NEW: The City of #ElPaso will be offering drive thru #coronavirus sample collection to residents with doctor?ôs orders, first responders and healthcare workers. ",,
438,Legisladores de Nevada emiten recomendaciones para que se atiendan necesidades de los latinos debido a coronavirus. ??selenatorresnv????EdgarFloresNV??leading efforts to reach out to community #CoronaCrisis #SiSePuede ?ëç?èΩ?ëè?èΩ?á∫?á∏,,
439,He gonna get some kisses ?òò tonight #coronavirus #corona #MAHA make America healthy again #justcordelia #madeinusa TIME TO MAKE OUR OWN RX &amp; TP too #stayhome https://www.instagram.com/p/B-IrNYeAjvu/?igshid=u94rhg8kxk5z,,
440,"I am outside of my house, off my property for the first time in 11 days. Since I still feel unwell I'm staying in the car, but it's so nice to see the world. #Quarantine #coronavirus",,
441,"My newest shopping addiction. #harrisrestaurantsf #ribeye #supportingsmallbusiness #nostores4me #coronavirus @Harris' Restaurant, San Francisco https://www.instagram.com/p/B-IrMkaBPdS/?igshid=9qs5vxm65lqa",,
442,Pelosi Tried To Sneak In $300 MILLION For PBS In Coronavirus Bill ,,
443,I can?ôt even say corona virus the same way anymore?òÇ,,
444,What?ôs so hard about staying at home? Y?ôall thirsty for the turn up lol. MFs having game nights and shit like CoronaVirus can?ôt walk in with one of yo homies,,
445,"And since ""no one is getting coronavirus"", I am getting he has tested no one",,
446,Formerly fit and healthy 56 year old with #asthma trying to survive #CoronaVirus: ,,
447,"?òI don?ôt care,??Pelosi says when asked on CNN about Trump coronavirus ?útwitters??http://dlvr.it/RSVY0c via @ToddStarnes",,
448,"U.S. Congress still awaits $2 trillion coronavirus aid deal: Democrats and Republicans in the divided U.S. Congress said they were close to a deal on a $2 trillion stimulus package to limit the coronavirus pandemic's economic toll, but a vote on the bill??https://www.reuters.com/article/us-health-coronavirus-usa-congress/u-s-congress-still-awaits-2-trillion-coronavirus-aid-deal-idUSKBN21B18D?feedType=RSS&amp;feedName=politicsNews&amp;utm_source=dlvr.it&amp;utm_medium=twitter",,
449,When has anyone ??FoxNews??challenged a thing out of Trumps mouth .... Fox News anchors fail to challenge Trump as he misleads during coronavirus town hall ,,
450,"This is how you do the beach during these times. Desperately needed some fresh air, tis my 1st day out of the house since last Wed. The good news, there?ôs nobody here. #practicingsafeoutdoors #socialdistancing #covid19 #coronavirus #keepyoursanity",,
451,"That's not the only thing that made a big jump today, GOP. Hope you ??i.e., @SenatorLoeffler and @SenatorBurr ??bought stock in #coronavirus because there's a bull market for that. Coronavirus cases* are up 22% over yesterday ??in one day. Deaths up 25.6%. *confirmed, not actual ",,
452,Trump won't require firms to help fight coronavirus ??after corporations lobbied Jared Kushner #SmartNews,,
453,Coronavirus has made it even more clear that deep structural change like @Schools1stCA is more important than ever. Want to help us pass this critical tax reform? Share your story from home! https://share.schoolsandcommunitiesfirst.org/,,
454,I officially know someone who has Coronavirus &amp; he?ôs a nurse at that. I hate this,,
455,Coronavirus: Adam Schiff Defends Pelosi's Changes to Voting Law in Emergency Relief Bill ,,
456,NEXT on #9NEWS ??Colorado nears a thousand coronavirus cases as Denver and Boulder go on lockdown. Let's hang out at home - together. ??The number of people who have recovered is still elusive. ??An ER doc tells us when he thinks the surge will hit. ,,
457,What Does Coronavirus Do to the Body? | Elemental ,,
458,"Added Governor calls to @SpeakUpAmerica_ to help #Florida push their governor to issue a 'shelter in place' but can also filter different advocacy efforts by state; let me know if you have suggestions! Say ""Alexa open Speak Up America"" and ""Coronavirus"" to take action. #covid19",,
459,Spend more time condemning coronavirus parties in the Bluegrass state and leave the voting revolution to the experts.,,
460,@CNN @MSNBC Lookner Goes Off about coronavirus response. First time I've ever seen this from him. He's been covering covid-19 since January. https://www.youtube.com/watch?v=jivHeVrB9T0 #coronavirus,,
461,"I don't want to see coronavirus goal posts moved. New York City DID NOT have ""social isolation."" If there aren't mass hospitalizations within two weeks, or less, then it's time to reexamine what we think we know about coronavirus. ",,
462,"Wait...I thought Russia had no cases, and Putin was succeeding??? -- Putin dons hazmat suit as Moscow says coronavirus outbreak is worse than it looks https://news.yahoo.com/putin-dons-hazmat-suit-moscow-161407964.html?soc_src=hl-viewer&amp;soc_trk=tw via @Yahoo",,
463,Watching Fox and Mayor De Blasio just referenced the need for the US MILITARY to take control. #USA #coronavirus,,
464,New Orleans-area coronavirus cases see alarming spike as governor requests major disaster declaration https://www.cnn.com/2020/03/24/us/new-orleans-coronavirus-jefferson-orleans-parish-louisiana/index.html #Coronavirusneworleans #CoronavirusLockdown,,
465,https://www.makervsvirus.org/de/ Hier versuchen wir gemeinsam unsere Kapazit√§ten zu koordinieren. Du kannst/willst helfen? Join den #slack #coronavirus #covid-19 #DIY #Maker #Hacker,,
466,Just as we're getting used to the old coronavirus.,,
467,Houston Rapper Slim Thug says he tested Positive for Coronavirus https://24hip-hop.com/slim-thug-tested-positive-for-coronavirus/,,
468,Want to know why so many people are begging government for a false security over Liberty? Watch this short video on the failures of the American Education System. https://youtu.be/cCs-AacZhOM #LibertyFirst #covid19 #coronavirus #Constitution,,
469,Houston Rapper Slim Thug says he tested Positive for Coronavirus https://24hip-hop.com/slim-thug-tested-positive-for-coronavirus/,,
470,That is not what we are discussing. There may indeed come a time we need to go on lockdown. It is not now. More people died from the flu this flu season then whom have died from Coronavirus. We have 0 deaths. We don?ôt quarantine for the flu so what?ôs the point,,
471,A resident told me the military was coming in at midnight. Lols. Doubt it #ontario #coronavirus,,
472,"I need new hoes, but coronavirus is really fucking that up ?ò≠",,
473,Houston Rapper Slim Thug says he tested Positive for Coronavirus https://24hip-hop.com/slim-thug-tested-positive-for-coronavirus/,,
474,"Thanks to @CedarsSinai for their $25,000 donation to the @ABC7 &amp; @RamsNFL virtual telethon, raising funds for @LAUnitedWay &amp; @LAFoodBank to assist SoCal response to the #coronavirus pandemic. Details on how you can contribute at http://abc7.com/community. #CedarsSinai",,
475,Houston Rapper Slim Thug says he tested Positive for Coronavirus https://24hip-hop.com/slim-thug-tested-positive-for-coronavirus/,,
476,"#winning @SpeakerPelosi when #coronavirus hits you, we'll see how fast you act to ""get things done"". But you're probably prepared for that and have the least of worries. I have a feeling someone close to you will get it and you'll have your regrets. ",,
477,This Video Explains The Origins Of Coronavirus In 1 Minute https://bit.ly/2J3I6cz via @plantbasednews,,
478,Whatever are people doing with bodies? ?úCoronavirus: Can you catch the virus from people who've died???https://www.desertsun.com/story/news/health/2020/03/23/coronavirus-update-can-you-catch-virus-people-whove-died/2898735001/ via @MyDesert,,
479,#NAME?,,
480,"That's not the only thing that made a big jump today, GOP. Hope you ??i.e., @SenatorLoeffler and @SenatorBurr ??bought stock in #coronavirus because there's a bull market for that. Coronavirus cases* are up 22% over yesterday ??in one day. Deaths up 25.6%. *confirmed, not actual ",,
481,Zoom meeting for work is getting a little heated. Can?ôt be catchin??#Coronavirus any way shape or FORM ,,
482,Formerly fit and healthy 56 year old with #asthma trying to survive #CoronaVirus: ,,
483,Day 8: I had Count Chocula for dinner. I took a walk around the neighborhood hoping to see some sort of coronavirus zombie horde. No luck but tomorrow is another day.,,
484,.. this is getting pretty messy btw NSW Health and Australian Border Force #RubyPrincess #coronavirus,,
485,"How can we practice food safety during #coronavirus? Join #FoodFri with @MomsRising, @CSPI, @fractweets, and @NatWICAssoc to learn more about what you can do! The convo is happening on March 27th at 1pm ET! RT to spread the word!",,
486,Two more NYSE floor traders test positive for coronavirus ,,
487,Bill Gates says the US missed its chance to avoid coronavirus shutdown and businesses should stay closed ,,
488,The U.S. Economy is Dead ??Hallelujah! #coronavirus #stimulus #EatTheRich,,
489,They also said the coronavirus was no big deal so... bit tough to put a sling on something that shoulda been in a full body cast months ago.,,
490,"In partnership with Natividad Foundation?ôs Indigenous Interpreting+ program, Natividad has created some indigenous language PSA?ôs in Triqui. Please share so we can help inform our community about coronavirus and when to seek medical help. https://bit.ly/2QIIFwN #Natividad",,
491,Is this why they're getting crucified right now over an article comparing Coronavirus and radical Islam?,,
492,"You cannot conflate these things. We have vaccines for the Flu but *no vaccine* for #coronavirus... plus, severe &amp; permanent lung damage occurs with #coronavirus. As for auto accidents, DON'T BE RIDICULOUS! The President is a F'king Idiot!!! Let's please do better next time!!!",,
493,"No - just come to Orange County California! Our new tourist slogan is: Only 125 cases and NO deaths from coronavirus. Safest place in America again! See you soon! (Unless you are from NYC, New Jersey Or Connecticut - in which case, fugeddaboutit!)",,
494,Fox News anchors fail to challenge Trump as he misleads during coronavirus town hall - CNN https://www.cnn.com/2020/03/24/media/fox-news-trump-town-hall/index.html via @GoogleNews,,
495,"If you haven?ôt read this, you really need too. All the way to the end - he survived Ebola, and yet fears Coronavirus. Do your part- stay home if you can. ",,
496,"Kamala Harris Talks Coronavirus Response, Real Kindness | http://PEOPLE.com",,
497,"In case you haven't been keeping up with this: OJ has been edging with his murder acquittal ever since Coronavirus hit the states. The jokes haven't been funny and they must be offensive to the families of the victims, even if he didn't do it. ",,
498,"It is never enough when you are afraid. @CNN #FearWorseThanVirus #coronavirus #COVID??9 The cities, the counties, the states weren?ôt prepared. The government wasn?ôt prepared. ALL are to BLAME. All those politicians and not one is clairvoyant. #SAD @SpeakerPelosi @GavinNewsom",,
499,Too bad you called the fears of virus outbreak a ?úmoronic doomsday scenario???úmanufactured by the left.??The Coronavirus is very real. You should apologize to the victims and Americans who have lost their lives. ,,
500,Can some one add up the Wall Street Bail Outs from Obama Era to the $6Trilllion Dollar Stimulus Coronavirus Bill $= Amazing Plus Tax Cuts For Rich Our Country Stealing from its own People,,
501,Trump finds someone to blame on coronavirus: Andrew Cuomo ,,
502,"Is Facebook really a ?únews powerhouse??again, thanks to coronavirus? (No more than it was before) ",,
503,The coronavirus outbreak has led to a blood shortage. The American Red Cross is pleading for help. ,,
504,60 percent of Americans approve of Trump?ôs handling of coronavirus: Gallup poll ,,
505,Pleasantly surprised to see Jamie Lee Curtis is trending because of this flamboyant degrassi clip and not the corona virus ?¶† ,,
506,"#StupidWHBriefingQuestions Mr. president, do you think that #coronavirus can be stopped by nuking it?",,
507,I hope coronavirus takes all the ungrateful men ?ëã?èª,,
508,Snopes Debunks Meme Claiming No One Is Buying Vegan Food During Coronavirus Stockpiling https://bit.ly/2wBn8z5 via @plantbasednews,,
509,Coronavirus Party. You have to be shittin' me! ,,
510,?ôè?èº?íö?ôå?èº #coronavirus #COVID19 #kindnessnextdoor #gratitude,,
511,"Seattle (WA) Times: Coronavirus-related crimes capitalize on global fear, panic. More #Seattle #news - https://tinyurl.com/ybody8kq",,
512,"Air pollution falls as coronavirus slows travel, but it forms a new threat ",,
513,"As the Coronavirus Approaches, Mexico Looks the Other Way https://buff.ly/2UjnIuF",,
514,"Two of the five residents who tested positive for #COVID19 at a Burlingame senior facility have now died, an Atria spokesman tells me. Death toll up to 3 in San Mateo County #coronavirus ",,
515,Please start showing on TV people who already recover from Coronavirus and went back to work.,,
516,If you look at the Johns Hopkins page about the corona virus it looks like a game of pandemic. And if I know anything about that game once Greenland Iceland and Madagascar get infected the whole world ends....,,
517,"Matt, why don't you purposely catch the coronavirus, and if you survive, tell us how bad it isnt?",,
518,Kentucky governor says person tested positive for virus after attending 'coronavirus party' ,,
519,Massive coronavirus testing is the way to help save the economy. Do it now. https://reason.com/2020/03/24/massive-coronavirus-testing-is-the-way-to-help-save-the-economy/ via @reason,,
520,Why Widespread Coronavirus Testing Isn?ôt Coming Anytime Soon https://www.newyorker.com/news/news-desk/why-widespread-coronavirus-testing-isnt-coming-anytime-soon?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=onsite-share&amp;utm_brand=the-new-yorker&amp;utm_social-type=earned via @NewYorker,,
521,"Hello Tony, emergency financial assistance is available to eligible households who have lost income due to coronavirus-related impacts living in Santa Clara County. Apply online: http://sacredheartcs.org/covid19 or call 408-780-9134.",,
522,New Orleans Homeland Security director warns of ?òskyrocketing??coronavirus cases - The Washington Post ,,
523,"CDC said only about 2% People in hospitals with a respiratory distress we?ôre from coronavirus, so obviously there?ôs other nasty viruses going around",,
524,https://www.youtube.com/watch?v=kI671mFh8Vs Russian vids exposing the fake Corona Virus @jcblount @drzwis @love_liberty100 @Janigirl6 @GlennnRoss @rnbytrade @Briteeye777 @MAGA_Wife @swestlady65 @poohbeared @BundyGP @BchHunt @GuardCanada @SweetKat111 @redd3451 @OxmanMartin @AngelWarrior321,,
525,So you are worry about getting American people job then get the American people a care for the Coronavirus you are such the great president not your NOT THE GREATEST PRESIDENT YOUR THE WORSE PRESIDENT EVER,,
526,Watch: Trump Calls for American Independence to Defeat Coronavirus ,,
527,This coronavirus shit feels like a dream!!!,,
528,Japan moving away from social distancing as coronavirus fears ease - The Washington Post ,,
529,"Democrat Rep. Clyburn Says Coronavirus ""Is a tremendous opportunity to restructure things to fit our vision"" https://www.thegatewaypundit.com/2020/03/democrat-rep-clyburn-says-coronavirus-is-a-tremendous-opportunity-to-restructure-things-to-fit-our-vision/ via @gatewaypundit.....More corrupt BS from the dems.??its not going to work....shove it up your ass Clyburn",,
530,"Not far from the truth, except the idiot in the WH doesn't realize - or refuses to realize - that the coronavirus respects zero boundaries, including state lines. ",,
531,Gravitas: How China 'exported' the virus | Wuhan coronavirus https://youtu.be/sEJ3VOA76qQ via @YouTube,,
532,"More smart ideas from @MikeZumbluskas -- see his video below on the disgrace in Congress, and read his latest Op-Ed here. He's running for office: http://electmikez.com OPINION: Corona Virus, a Call to Duty for All Veterans https://quartermaster.news/opinion-corona-virus-a-call-to-duty-for-all-veterans/ via @QMN1775",,
533,Some of these people going out in public places didn?ôt grow up as an only child... and it shows #COVID19 #Coronavirus #StayAtHomeOrder,,
534,Pelosi Slips Amnesty for DACA Illegals into Latest Coronavirus Plan. This Bill is to supposed to help the American People! Democrats Hate Trump &amp; Americans. Shameful!! GET OUT AND VOTE RED TRUMP2020 LANDSLIDE ?á∫?á∏ Agree? ,,
535,"Coronavirus Could Overwhelm U.S. Without Urgent Action, Estimates Say https://www.nytimes.com/interactive/2020/03/20/us/coronavirus-model-us-outbreak.html",,
536,Wendy Williams vows to abstain from sex during coronavirus outbreak- but quarantines with 'boyfriend' Boof at home ,,
537,Coronavirus tracked: the latest figures as the pandemic spreads | Free to read https://www.ft.com/content/a26fbf7e-48f8-11ea-aeb3-955839e06441 via @financialtimes,,
538,"College Campus Life Impacted By Coronavirus, In-Home Placement Tests ?òNew Normal??- CBS Dallas / Fort Worth http://dlvr.it/RSVXwG college",,
539,"""They don't know what they're talking about."" Don't trust Trump's coronavirus 'cure,' says widow of man poisoned by chloroquine ",,
540,"Alucina que safemos del calentamiento global, del coronavirus y de los meteoritos, juro por Dios que no vuelvo descargar una canci√≥n gratis en internet",,
541,"St. Luke's Catholic Church employee dies of coronavirus, per church officials http://www.kens5.com/article/news/health/coronavirus/st-lukes-catholic-church-employee-dies-of-coronavirus-per-church-officials/273-2946c634-c040-4cec-8184-9c40a008a730 via @KENS5",,
542,"Italy ordered ""Avigan"" which Japan has been using to cure early stages of #COVID??9 confirmed by China the drug works. Other #EU countries are looking at other drugs that could potentially harm us. ?ëá?åÔ∏è #COVIDpandemic #RIVM #StayHome #CoronaPandemie #coronavirus #COVID19",,
543,?£Corona virus?ÑÊ™¢Ê∏¨Â†±?äÈÉΩ?¢Êãø‰æÜÂÅö?üÊÑèÔºåÈÇ£?ÑÊúâ‰ªÄÈ∫ºÂÅö‰∏çÂá∫‰æÜÁöÑÔº?,,
544,"In partnership with Natividad Foundation?ôs Indigenous Interpreting+ program, Natividad has created some indigenous language PSA?ôs in Mixteco. Please share so we can help inform our community about coronavirus and when to seek medical help. https://bit.ly/2wqyF4w #Natividad",,
545,@rashmip1 @GaurCityResiden @Greno_West @PMOIndia @gaurcity2india @GaurCity1 #coronavirus ?úCHOTI SI PEHL??i feel all societies and community follow this for home delivery on main gate. Is this right step for social distance? ,,
546,#SouthAfrica next to lockdown for #Coronavirus ,,
547,I just backed Renovate the New Parkway during the Coronavirus Closure on @Kickstarter,,
548,"""Each loss we experience in #LA County is tragic,"" said Barbara Ferrer, LA County Public Health Director. ""We are sending our heartfelt condolences to the families and loved ones who've had to endure this tragedy."" #COVID19 #coronavirus",,
549,"And also good thing we have a vaccine for the coronavirus so we can all go get it, like we did with the flu shot. Wait...",,
550,The coronavirus isn?ôt some angry deity you can pick and choose your sacrifices ?ôÑ it?ôs not like there?ôs some quota you can fill before it stops killing people ,,
551,What if the government started the corona virus cos everyone wanted to invade Area 51. Corona causes lung damage so now we won?ôt be able to Naruto run and try to do that again,,
552,"Trump is living in a fantasy where he is going to oversee a miracle cure for the coronavirus, get all of the credit, and be hailed as a hero. https://www.politicususa.com/2020/03/24/trump-coronavirus-cure.html via @politicususa",,
553,We're now looking at one of the largest U.S. government expenditures ever with the proposed $6 trillion #coronavirus stimulus package. Here's the cost of the U.S. stimulus package plotted against some major U.S. wars for context. #COVID19 #dataviz,,
554,CDC says coronavirus RNA found in Princess Cruise ship cabins up to 17 days after passengers left - CNBC https://www.cnbc.com/2020/03/23/cdc-coronavirus-survived-in-princess-cruise-cabins-up-to-17-days-after-passengers-left.html via @GoogleNews,,
555,Coronavirus FAQ: How long does it stay on surfaces? And how do I do laundry? - http://SFChronicle.com,,
556,"I'm so fortunate to be working in an industry, Promotional Products, where suppliers like @ShowdownDisplay is being proactive to help mitigate the spread of #coronavirus - thank you! ",,
557,"Guido, Luis Abinader dijo que va a donar 40 mil pruebas de coronavirus. Y eso como se llama ?????",,
558,"With his underlying conditions, can we be sure that it was in fact coronavirus that killed him?",,
559,We recommend checking the CDC website for the most up-to-date and most accurate information regarding the #coronavirus: https://bit.ly/3aiRgxW #seniorcare #covid19 #LongBeach,,
560,College Seeks PPE Donations to Help UC Davis Health Colleagues During Coronavirus Pandemic ,,
561,"3 bottles down.....one to go!! #day9 #coronavirus #stellarosapineapple?çç #bigglass #fullbottle #aintnostoppingusnow #saferathome #shelterinplace @Los Angeles, California https://www.instagram.com/p/B-Iq9XHlPN4/?igshid=1mrg1apskwzr2",,
562,Watching Defense Department Coronavirus Briefing @CSPAN https://www.c-span.org/video/?470649-1/defense-department-coronavirus-briefing,,
563,"Award-Winning Playwright and Y&R Alum, Terrence McNally Dies Due To Complications From Coronavirus - #TerrenceMcNally #YR #RIP He was such a talent. https://bit.ly/2QIJvJW",,
564,We recommend checking the CDC website for the most up-to-date and most accurate information regarding the #coronavirus: https://bit.ly/33KpTKS #seniorcare #covid19 #Albuquerque,,
565,"Ladies, you can cut your bra in half and make 2 makeshift surgical masks! ?ò∑Go save someone! #MacGyver #CoronaVirus",,
566,"You mean if we forcefully quarantine NYC, we can contain better than half of the coronavirus contagion. Sounds like a win win.",,
567,"You guys actually deserve to be shut down, Coronavirus or not. Unreal. #DemocratCultNews",,
568,USS #Theodore #Roosevelt #Navy sailors test positive for coronavirus - Mar 24 @7:49 PM ET https://oddcrimes.com/static/2020/03/24/USS-Theodore-Roosevelt-Navy-sailors-test-positive-for-coronavirus.php,,
569,Trump just gave a disastrous coronavirus town hall full of misinformation that could kill thousands #SmartNews,,
570,#covid19 #coronavirus #quarantine #socialdistancing #collegelife #selfisolation https://www.instagram.com/p/B-IqwQBgw36/?igshid=rhsg3o4as4f,,
571,@DriveKMJ so I've been asking this question from most of my friends and even googled it; however I haven't found the answer to it. Does this rain help to partially or even maybe complain get rid of this damn coronavirus? What do you guys think?,,
572,"And also known as... #tRumpAdminVirus ?òâ Designed, developed and deployed by USA ?òä Is Novel Corona Virus Reservoir BioWar Syringe or Bat Soup? http://www.johnsonandtoxin.com/biowar_or_bat_soup.shtml",,
573,"It turns out I love writing for kids! I've been answering their coronavirus questions. Latest installment is here. If your kids have questions, please let us know at http://latimes.com/coronaviruskids. .",,
574,It?ôs ok. Let the polls scare us. 2016 the polls all pointed to a deeply unpopular Trump that had a chance in hell. I hope everyone takes this as a sign to get the hell out and vote. I will swim though a sea of Coronavirus to vote this pig out of office.,,
575,"The coronavirus death rate isn't 2.5% U.S. death rate is 1.2%, and that will DECREASE as wider testing shows more cases. We are looking at coronavirus being 5-10 times deadlier than the flu, which is bad enough on its own. No need to lie to get ORANGE MAN BAD. ",,
576,"People over 60 are far more likely to vote Republican than people under 30. So just ponder, if this coronavirus is let loose with exponential speed, what that could do to the November election's results. Bernie for president?",,
577,Key New York Senator Says No Need To Rush Marijuana Legalization Amid Coronavirus #TNMNews #CannabisNews https://tnm.news/d30d7f50 via @marijuanamoment,,
578,ICYMI: Lesson in how to punish longtime customers -- @24HourFitness faces public backlash for BLOCKING membership cancellations during coronavirus pandemic ,,
579,I know what it actually means. Don?ôt tell me its racist after the media asses named it to begin with. Especially after a month of them calling it Wuhan corona virus. Place of origin Wuhan province China. Name of virus Wuhan Corona Virus. Shove your political correct B.S.,,
580,Trump FDA grants drug company exclusive claim on promising coronavirus drug! Trump got kickback!? Your thoughts!?,,
581,"To End The Coronavirus Crisis We Need Widespread Testing, Experts Say - https://www.npr.org/820157519 #FightCOVID19",,
582,We are here during this crisis to help refine or develop your message and update your website accordingly. Simple examples can include: Your business?ôs coronavirus statement We?ôre open with limited hours during the coronavirus epidemic Our physical lo... ,,
583,?áµ?á¶#PANAM√Å ?ö®#√öLTIMAHORA | Aumenta a 443 los casos de coronavirus (COVID-19). ,,
584,Coronavirus: Trump gave a disastrous town hall full of misinformation - Business Insider ,,
585,"I?ôd like to say that I almost completely stopped drinking all sodas this school year but with Coronavirus going on, my anxiety is through the roof and drinking Dr. pepper is somehow now my coping mechanism",,
586,"A m√≠ lo que me tranquiliza es que el Coronavirus es mundial y como en todos los mundiales, M√©xico queda fuera en la cuarta semana ?§∑?ç‚ôÇÔ∏?
587,Trump Is Inciting a Coronavirus Culture War to Save Himself 
588,el 50% de mis tuits son asi"," el otro 50% es sobre coronavirus """,
589,Where?ôs coronavirus when you need it?,,
590,"?§‚ù§ A 90-year-old great-great grandmother recovered from coronavirus and said ?úThis is a gift from God, his work is not done with me just yet.??",,
591,"Se√±or salga a ver si coge algo, algo as√≠ como coronavirus.",,
592,Trump just gave a disastrous coronavirus town hall full of misinformation that could kill thousands https://flip.it/82Qf_A,,
593,"If I understand this correctly, they believe that people in New York are going to be so in awe of Sanders's response to coronavirus compared to Biden's that it's going to swing New York by 40 points? ",,
594,FDA will allow doctors to treat critically ill coronavirus patients with blood from survivors - NBC News https://www.nbcnews.com/news/us-news/fda-will-allow-doctors-treat-critically-ill-coronavirus-patients-blood-n1167831 via @GoogleNews,,
595,Pence: FDA approving 'off-label' use for hydroxychloroquine to help coronavirus patients https://fxn.ws/2QJh7ar #FoxNews,,
596,Does it seem like the #MSM are on the side of the #coronavirus in this war? Really weird.,,
597,#NOWPLAYING CORONAVIRUS PSA [1v2E] by KWAYDB http://WWW.KWAYGOSPEL.COM Buy song http://www.amazon.com/s/ref=nb_sb_noss_1?url=search-alias%3Ddigital-music&amp;tag=kwaygospel20-20&amp;field-keywords=KWAYDB_-_CORONAVIRUS_PSA_[1v2E],,
598,My friends made up coronavirus cause they said my daps were too powerful,,
599,Coronavirus: San Jose prepares 109 trailers to house homeless individuals ,,
600,Would you mind helping this mother? She's a previous cause on @TeamGivingCom so I know she's had prior needs even though the ones I'm trying to focus on are very #coronavirus specific. Maybe $20? And maybe she'll post a receipt in the coming days? ,,
601,"Posts Distort Facts on Coronavirus Air Transmission, Masks http://freeamericanetwork.com/posts-distort-facts-on-coronavirus-air-transmission-masks/",,
602,Fact: Coronavirus is not the end of the world.,,
603,Everything You Need to Celebrate Passover During Coronavirus #passover #COVID19,,
604,Homeless protest coronavirus response outside Fresno City Hall ,,
605,"If we do not reduce the number of people in cages in the United States, the conditions will accelerate the spread of coronavirus. #COVID19 and other viruses do not stay in cages. https://twitter.com/ynb/status/1236075939810775040?s=21 https://twitter.com/montyboa99/status/1232813892168011778?s=21 https://twitter.com/beckybunzy/status/1164676870530633728?s=21",,
606,Coronavirus in Oklahoma: Stitt predicts thousands of COVID-19 cases | @casteelpolitics #okpol #okhealth,,
607,"Desgraciado payaso, tengo a mis dos suegros ingresados, ambos positivo en coronavirus y ambos con neumon√≠a. Y mi suegro con un muy serio riesgo de perder la vida y te permites hacer bromas????",,
608,"YOU shouldn?ôt be counting ?úSTOCK MARKET??Points, you should be MOURNING how many AMERICANS are now in BODY BAGS because you choose to call the CORONAVIRUS a ?úDEMOCRATIC HOAX??for 2 months, instead of leading the COUNTRY FORWARD . You?ôre a IMPOTENT PRESIDENT. 45FAILURE FOREVER45 ",,
609,Bill Gates said the US missed its chance to avoid a coronavirus shutdown and recommended business... https://news.yahoo.com/bill-gates-said-us-missed-194906012.html?soc_src=hl-viewer&amp;soc_trk=tw via @Yahoo,,
610,"For over 175 years, @NewYorkLife has been there for our policy holders when we?ôre needed most. As we all do our part in the fight against the Coronavirus, protection is a priority we all share. Please reach out to me with any questions you may have. https://nyl.co/2QGZmIM",,
611,"Check out THE TRUTH ABOUT CORONAVIRUS: PANEL WITH BERNIE, REP. JAYAPAL &amp; PUBLIC HEALTH EXPERTS ",,
612,"Trump is listening to the business community, not scientists, as he is sitting around and hoping for a miracle cure for the coronavirus. https://www.politicususa.com/2020/03/24/trump-coronavirus-cure.html via @politicususa",,
613,Legendary playwright and activist Terrence McNally dies of coronavirus complications https://www.salon.com/2020/03/24/terrence-mcnally-dead-81-coronavirus/ #USRC,,
614,Furniture manufacturer near Seattle turns into mask factory for hospitals during coronavirus pandemic ,,
615,THE CORONAVIRUS STIMULUS BILL WILL TRY TO IMPLEMENT A US DIGITAL DOLLAR....... THINK ABOUT IT. CALL YOUR STATE REPRESENTATIVE CAUSE THATS NOT A GOOD IDEA,,
616,https://www.schmidtandclark.com/diamond-princess-lawsuit 712 passengers on the Diamond Princess cruise ship have tested positive for the deadly Coronavirus. Lawyers reviewing potential lawsuits now.,,
617,What is a coronavirus party? ,,
618,Coronavirus: Health experts look at when will life return to normal ,,
619,Governor: Kentucky COVID-19 patient attended 'coronavirus party' ,,
620,Yolo County confirms the 9th case of coronavirus. ??Young adult (age unspecified) ??Infection was community acquired ??Person currently hospitalized ,,
621,"A group of restaurants including #NBFF partners @lemonadela and @panerabread initiated #thegreatamericantakeout as the fallout from the coronavirus pandemic continues. Support the restaurant industry by ordering take-out or delivery from your favorites TODAY, March 24. ",,
622,Forget about this Corona virus abeg... Tell me something I know...but dnt comment on the forehead?òë ,,
